"","v","J","theta","S"
"1",0.001,50,0.1,1.43277627095053
"2",0.011,50,1.1,4.78249506828015
"3",0.021,50,2.1,7.26222283894579
"4",0.031,50,3.1,9.30373467432715
"5",0.041,50,4.1,11.0595715688461
"6",0.051,50,5.1,12.6073954806381
"7",0.061,50,6.1,13.9940631827952
"8",0.071,50,7.1,15.2507971898517
"9",0.081,50,8.1,16.3998081159279
"10",0.091,50,9.1,17.4576455004616
"11",0.101,50,10.1,18.4370747581498
"12",0.111,50,11.1,19.3482099832116
"13",0.121,50,12.1,20.1992378801377
"14",0.131,50,13.1,20.9969018350445
"15",0.141,50,14.1,21.7468377247523
"16",0.151,50,15.1,22.4538140783627
"17",0.161,50,16.1,23.1219082956152
"18",0.171,50,17.1,23.7546388077699
"19",0.181,50,18.1,24.3550660865991
"20",0.191,50,19.1,24.9258711267151
"21",0.201,50,20.1,25.4694173150725
"22",0.211,50,21.1,25.9877998345625
"23",0.221,50,22.1,26.4828855680514
"24",0.231,50,23.1,26.9563456627267
"25",0.241,50,24.1,27.4096823526345
"26",0.251,50,25.1,27.8442512386471
"27",0.261,50,26.1,28.261279937711
"28",0.271,50,27.1,28.661883802992
"29",0.281,50,28.1,29.0470792606622
"30",0.291,50,29.1,29.4177951920841
"31",0.301,50,30.1,29.7748827013459
"32",0.311,50,31.1,30.1191235399893
"33",0.321,50,32.1,30.451237408023
"34",0.331,50,33.1,30.7718883090967
"35",0.341,50,34.1,31.0816901052386
"36",0.351,50,35.1,31.3812113907668
"37",0.361,50,36.1,31.6709797843625
"38",0.371,50,37.1,31.9514857216812
"39",0.381,50,38.1,32.2231858174161
"40",0.391,50,39.1,32.4865058547497
"41",0.401,50,40.1,32.7418434511336
"42",0.411,50,41.1,32.9895704419106
"43",0.421,50,42.1,33.2300350171502
"44",0.431,50,43.1,33.4635636419486
"45",0.441,50,44.1,33.6904627861628
"46",0.451,50,45.1,33.9110204859558
"47",0.461,50,46.1,34.1255077564948
"48",0.471,50,47.1,34.3341798725794
"49",0.481,50,48.1,34.5372775317937
"50",0.491,50,49.1,34.7350279129164
"51",0.501,50,50.1,34.9276456407294
"52",0.511,50,51.1,35.1153336670019
"53",0.521,50,52.1,35.2982840762446
"54",0.531,50,53.1,35.4766788238171
"55",0.541,50,54.1,35.6506904130875
"56",0.551,50,55.1,35.8204825175801
"57",0.561,50,56.1,35.9862105533801
"58",0.571,50,57.1,36.1480222064826
"59",0.581,50,58.1,36.3060579192662
"60",0.591,50,59.1,36.4604513398213
"61",0.601,50,60.1,36.6113297374749
"62",0.611,50,61.1,36.758814387505
"63",0.621,50,62.1,36.9030209277346
"64",0.631,50,63.1,37.0440596894221
"65",0.641,50,64.1,37.1820360046298
"66",0.651,50,65.1,37.3170504920348
"67",0.661,50,66.1,37.4491993229631
"68",0.671,50,67.1,37.5785744692512
"69",0.681,50,68.1,37.7052639343992
"70",0.691,50,69.1,37.8293519693348
"71",0.701,50,70.1,37.9509192739928
"72",0.711,50,71.1,38.0700431858074
"73",0.721,50,72.1,38.1867978561118
"74",0.731,50,73.1,38.3012544153577
"75",0.741,50,74.1,38.4134811279867
"76",0.751,50,75.1,38.5235435377128
"77",0.761,50,76.1,38.6315046039136
"78",0.771,50,77.1,38.7374248297688
"79",0.781,50,78.1,38.8413623827301
"80",0.791,50,79.1,38.9433732078624
"81",0.801,50,80.1,39.0435111345508
"82",0.811,50,81.1,39.1418279770263
"83",0.821,50,82.1,39.2383736291332
"84",0.831,50,83.1,39.3331961537227
"85",0.841,50,84.1,39.4263418670296
"86",0.851,50,85.1,39.5178554183635
"87",0.861,50,86.1,39.6077798654173
"88",0.871,50,87.1,39.6961567454769
"89",0.881,50,88.1,39.783026142793
"90",0.891,50,89.1,39.8684267523564
"91",0.001,150,0.3,2.55354814502064
"92",0.011,150,3.3,13.1812202684718
"93",0.021,150,6.3,20.7237534402537
"94",0.031,150,9.3,26.8989353183204
"95",0.041,150,12.3,32.2009596096257
"96",0.051,150,15.3,36.8717285466578
"97",0.061,150,18.3,41.0550321921035
"98",0.071,150,21.3,44.8459881677986
"99",0.081,150,24.3,48.3119836525128
"100",0.091,150,27.3,51.5031043146869
"101",0.101,150,30.3,54.4579205367141
"102",0.111,150,33.3,57.2069580246503
"103",0.121,150,36.3,59.7749063122867
"104",0.131,150,39.3,62.1820910211947
"105",0.141,150,42.3,64.4454928870921
"106",0.151,150,45.3,66.579475288445
"107",0.161,150,48.3,68.5963173585537
"108",0.171,150,51.3,70.5066133904313
"109",0.181,150,54.3,72.3195778404368
"110",0.191,150,57.3,74.0432821498918
"111",0.201,150,60.3,75.6848413336407
"112",0.211,150,63.3,77.2505629055068
"113",0.221,150,66.3,78.7460671223865
"114",0.231,150,69.3,80.1763850808181
"115",0.241,150,72.3,81.5460394960576
"116",0.251,150,75.3,82.8591117862671
"117",0.261,150,78.3,84.1192982147267
"118",0.271,150,81.3,85.3299572072162
"119",0.281,150,84.3,86.4941494906613
"120",0.291,150,87.3,87.6146723457853
"121",0.301,150,90.3,88.6940889984232
"122",0.311,150,93.3,89.7347539686167
"123",0.321,150,96.3,90.738835037505
"124",0.331,150,99.3,91.7083323677337
"125",0.341,150,102.3,92.6450952152131
"126",0.351,150,105.3,93.5508365923416
"127",0.361,150,108.3,94.4271461806639
